"L","Match","PM_1","PM_2","PM_3","PM_4","PM_5"
"a","4419","597","1956","929","911","616"
"b","1250","735","65","278","218","48"
"c","1467","722","136","336","256","96"
"d","1925","570","64","316","402","704"
"e","4644","231","1385","705","2005","1098"
"f","782","461","16","153","198","56"
"g","1241","522","64","295","347","102"
"h","1325","419","400","111","207","230"
"i","2936","131","1179","781","722","269"
"j","262","182","9","43","27","3"
"k","1233","355","85","256","445","144"
"l","2464","488","497","736","609","320"
"m","1569","586","150","449","334","140"
"n","2235","288","258","825","604","400"
"o","3232","221","1814","746","564","330"
"p","1535","716","167","306","368","91"
"q","82","55","10","12","2","4"
"r","3071","523","674","1034","566","461"
"s","5308","1195","77","451","345","3914"
"t","2364","666","162","505","758","473"
"u","1978","156","1001","501","319","66"
"v","525","199","37","191","110","4"
"w","833","329","119","245","103","47"
"x","250","16","43","121","9","62"
"y","1609","175","245","184","105","934"
"z","356","102","27","131","106","28"
