"L","Match","PM_1","PM_2","PM_3","PM_4","PM_5"
"a","6710","976","2760","1494","1428","1025"
"b","1879","1108","96","425","308","90"
"c","2355","1100","228","473","510","174"
"d","2651","798","108","476","538","903"
"e","6691","348","1967","1047","2608","1867"
"f","1130","664","32","213","259","106"
"g","1822","745","92","422","496","182"
"h","2144","555","711","178","287","478"
"i","4361","205","1607","1228","1139","400"
"j","365","251","16","57","41","4"
"k","1770","483","123","335","571","340"
"l","3749","669","817","1007","910","644"
"m","2231","802","226","598","480","249"
"n","3449","396","474","1164","919","722"
"o","4646","320","2413","1182","849","507"
"p","2196","982","274","427","461","204"
"q","137","94","17","21","2","4"
"r","4725","743","1095","1485","858","825"
"s","6560","1881","125","650","638","4033"
"t","3695","1019","308","746","1044","896"
"u","3066","311","1413","804","548","101"
"v","795","270","66","275","203","6"
"w","1246","504","201","318","159","79"
"x","337","20","67","146","16","90"
"y","2457","208","305","242","147","1606"
"z","474","125","36","164","158","42"
