"Word","Letter_1","Letter_2","Letter_3","Letter_4","Letter_5","UniqueLetters","MatchNum","Y","MatchNum_Cons","Y_Cons","Green_1_Total","Green_2_Total","Green_3_Total","Green_4_Total","Green_5_Total","G","Green_1_Total_Cons","Green_2_Total_Cons","Green_3_Total_Cons","Green_4_Total_Cons","Green_5_Total_Cons","G_Cons","C","C_Cons"
"aahed","a","a","h","e","d","ahed",18192,1.16795069337442,4793,0.307717000513611,975,2759,177,2607,902,0.476373908577298,0,0,177,0,902,0.0692732408834104,0.649268104776579,0.12888418079096
"aalii","a","a","l","i","i","ali",14817,0.951271186440678,3748,0.240626605033385,975,2759,1006,1138,399,0.40299178222907,0,0,1006,0,0,0.0645865434001027,0.540061633281972,0.108596558808423
"aargh","a","a","r","g","h","argh",15397,0.988507960965588,8688,0.557781201848998,975,2759,1484,495,477,0.397406266050334,0,0,1484,495,477,0.157678479712378,0.545181689779147,0.257704160246533
"aarti","a","a","r","t","i","arti",19487,1.25109142270159,8418,0.540446841294299,975,2759,1484,1043,399,0.427580893682589,0,0,1484,1043,0,0.16223677452491,0.63345852593734,0.256789291217257
"abaca","a","b","a","c","a","abc",10941,0.702426810477658,4232,0.271700051361068,975,95,1493,509,1024,0.262968669748331,0,95,0,509,0,0.0387776065742167,0.372833204930663,0.0970082177709296
"abaci","a","b","a","c","i","abci",15301,0.982344632768362,4232,0.271700051361068,975,95,1493,509,399,0.222842835130971,0,95,0,509,0,0.0387776065742167,0.412718284540318,0.0970082177709296
"abacs","a","b","a","c","s","abcs",17500,1.12352336928608,10791,0.692796610169492,975,95,1493,509,4032,0.456086286594761,0,95,0,509,4032,0.29763739085773,0.622945557267591,0.39642719568567
"abaft","a","b","a","f","t","abft",13410,0.860939907550077,6701,0.430213148433487,975,95,1493,258,895,0.238572162300976,0,95,0,258,895,0.0801232665639445,0.394164098613251,0.16764573703133
"abaka","a","b","a","k","a","abk",10356,0.664869029275809,3647,0.234142270159219,975,95,1493,570,1024,0.266884951206985,0,95,0,570,0,0.0426938880328711,0.366380970724191,0.0905559835644582
"abamp","a","b","a","m","p","abmp",13012,0.835387776065742,6303,0.404661016949153,975,95,1493,479,203,0.208333333333333,0,95,0,479,203,0.049884437596302,0.365096944016436,0.138578582434515
"aband","a","b","a","n","d","abnd",14685,0.942796610169492,7976,0.512069851052902,975,95,1493,918,902,0.281394453004623,0,95,0,918,902,0.122945557267591,0.44674499229584,0.220226630713919
"abash","a","b","a","s","h","absh",17289,1.10997688751926,10580,0.679250128402671,975,95,1493,637,477,0.236068310220853,0,95,0,637,477,0.0776194144838213,0.454545454545455,0.228027092963534
"abask","a","b","a","s","k","absk",16915,1.08596558808423,10206,0.655238828967643,975,95,1493,637,339,0.22720852593734,0,95,0,637,339,0.0687596302003082,0.441897791474063,0.215379429892142
"abaya","a","b","a","y","a","aby",11043,0.708975346687211,4334,0.278248587570621,975,95,1493,146,1024,0.239663585002568,0,95,0,146,0,0.015472521828454,0.356991525423729,0.0811665382639959
"abbas","a","b","b","a","s","abs",15146,0.972393425783256,8437,0.541666666666667,975,95,424,1427,4032,0.446391884951207,0,95,424,0,4032,0.292180277349769,0.577892270159219,0.354551874678993
"abbed","a","b","b","e","d","abed",17927,1.15093733949666,4528,0.29070364663585,975,95,424,2607,902,0.321199280945044,0,95,424,0,902,0.0912300975860298,0.528633795582948,0.141098484848485
"abbes","a","b","b","e","s","abes",21836,1.40190035952748,8437,0.541666666666667,975,95,424,2607,4032,0.522149460708783,0,95,424,0,4032,0.292180277349769,0.742087185413457,0.354551874678993
"abcee","a","b","c","e","e","abce",17631,1.13193374422188,4232,0.271700051361068,975,95,472,2607,1866,0.386171032357473,0,95,472,0,0,0.036402157164869,0.572611710323575,0.0952266307139188
"abeam","a","b","e","a","m","abem",17507,1.1239727786338,4108,0.263739085772984,975,95,1046,1427,248,0.243387262455059,0,95,0,0,248,0.0220210580380072,0.463533641499743,0.0824505649717514
"abear","a","b","e","a","r","aber",20001,1.28409090909091,6602,0.423857216230098,975,95,1046,1427,824,0.280367231638418,0,95,0,0,824,0.0590010272213662,0.531298151001541,0.150215074473549
"abele","a","b","e","l","e","abel",19025,1.22143040575244,5626,0.361196712891628,975,95,1046,909,1866,0.314008731381613,0,95,0,909,0,0.0644581407293272,0.540864149974319,0.138642783769902
"abers","a","b","e","r","s","abers",26560,1.70518746789933,13161,0.844953775038521,975,95,1046,857,4032,0.449730354391371,0,95,0,857,4032,0.319979455572676,0.763594632768362,0.451223035439137
"abets","a","b","e","t","s","abets",25530,1.63906009244992,12131,0.778826399589111,975,95,1046,1043,4032,0.461671802773498,0,95,0,1043,4032,0.331920903954802,0.756018875192604,0.44364727786338
"abies","a","b","i","e","s","abies",26196,1.68181818181818,8437,0.541666666666667,975,95,1227,2607,4032,0.573703133025167,0,95,0,0,4032,0.264958911145352,0.850731895223421,0.33413585002568
"abler","a","b","l","e","r","abler",23749,1.52471751412429,10350,0.664483821263482,975,95,1006,2607,824,0.353556753980483,0,95,1006,0,824,0.123587570621469,0.646346944016436,0.258811633281972
"ables","a","b","l","e","s","ables",25584,1.64252696456086,12185,0.782293271700051,975,95,1006,2607,4032,0.559514637904468,0,95,1006,0,4032,0.329545454545455,0.830267719568567,0.442732408834104
"ablet","a","b","l","e","t","ablet",22719,1.45859013867488,9320,0.598356445814073,975,95,1006,2607,895,0.358115048793015,0,95,1006,0,895,0.128145865434001,0.633233821263482,0.245698510529019
"ablow","a","b","l","o","w","ablow",18225,1.17006933744222,6871,0.441127375449409,975,95,1006,848,78,0.192732408834104,0,95,1006,0,78,0.075693374422188,0.437066640986133,0.167051874678993
"abmho","a","b","m","h","o","abmho",17605,1.1302645095018,6251,0.401322547508988,975,95,597,286,506,0.157871083718541,0,95,597,286,0,0.062788906009245,0.400969440164355,0.147422316384181
"abohm","a","b","o","h","m","abohm",17605,1.1302645095018,6251,0.401322547508988,975,95,1181,286,248,0.178800719054956,0,95,0,286,248,0.0403826399589111,0.416666666666667,0.13061761684643
"aboil","a","b","o","i","l","aboil",21340,1.37005649717514,5626,0.361196712891628,975,95,1181,1138,643,0.258859784283513,0,95,0,0,643,0.0473805855161787,0.53665896250642,0.125834617360041
"aboma","a","b","o","m","a","abom",15462,0.992681047765794,4108,0.263739085772984,975,95,1181,479,1024,0.241011813045711,0,95,0,479,0,0.0368515665125835,0.428929121725732,0.0935734463276836
"aboon","a","b","o","o","n","abon",16680,1.0708782742681,5326,0.341936312275295,975,95,1181,848,721,0.245249101181305,0,95,0,0,721,0.0523882896764253,0.451656394453005,0.124775295326143
"abord","a","b","o","r","d","abord",20606,1.32293271700051,9252,0.593990755007704,975,95,1181,857,902,0.257447354904982,0,95,0,857,902,0.119029275808937,0.523818695428865,0.237769645608629
"abore","a","b","o","r","e","abore",24646,1.58230611196713,6602,0.423857216230098,975,95,1181,857,1866,0.319337442218798,0,95,0,857,0,0.0611196712891628,0.635079609655881,0.151804057524397
"abram","a","b","r","a","m","abrm",15541,0.997752953261428,8832,0.567026194144838,975,95,1484,1427,248,0.271507447354905,0,95,1484,0,248,0.117295839753467,0.453068823831536,0.22972842835131
"abray","a","b","r","a","y","abry",15767,1.01226245505907,9058,0.581535695942476,975,95,1484,1427,1605,0.358628659476117,0,95,1484,0,1605,0.204417051874679,0.522037108371854,0.298696712891628
"abrim","a","b","r","i","m","abrim",19901,1.27767077555213,8832,0.567026194144838,975,95,1484,1138,248,0.252953261427838,0,95,1484,0,248,0.117295839753467,0.509132639958911,0.22972842835131
"abrin","a","b","r","i","n","abrin",21119,1.35586800205444,10050,0.645223420647149,975,95,1484,1138,721,0.283320493066256,0,95,1484,0,721,0.147663071391885,0.551457370313303,0.272053158705701
"abris","a","b","r","i","s","abris",24230,1.55559835644581,13161,0.844953775038521,975,95,1484,1138,4032,0.495891114535182,0,95,1484,0,4032,0.360233692860812,0.76081792501284,0.481413713405239
"absey","a","b","s","e","y","absey",24292,1.55957883923986,10893,0.699345146379045,975,95,649,2607,1605,0.3807781201849,0,95,649,0,1605,0.150808936825886,0.675478299948639,0.287942989214176
"absit","a","b","s","i","t","absit",23200,1.4894709809964,12131,0.778826399589111,975,95,649,1138,895,0.240883410374936,0,95,649,0,895,0.105225988700565,0.553030303030303,0.273626091422702
"abuna","a","b","u","n","a","abun",15100,0.969440164355419,5326,0.341936312275295,975,95,803,918,1024,0.244928094504366,0,95,0,918,0,0.0650359527478171,0.426056111967129,0.134261042629687
"abune","a","b","u","n","e","abune",21790,1.39894709809964,5326,0.341936312275295,975,95,803,918,1866,0.298985618900873,0,95,0,918,0,0.0650359527478171,0.573975988700565,0.134261042629687
"abuts","a","b","u","t","s","abuts",21905,1.40633025166923,12131,0.778826399589111,975,95,803,1043,4032,0.446070878274268,0,95,0,1043,4032,0.331920903954802,0.68613572162301,0.44364727786338
"abuzz","a","b","u","z","z","abuz",12125,0.778441191576785,2351,0.150937339496662,975,95,803,157,41,0.132960965588084,0,95,0,157,41,0.0188109912686184,0.294331022085259,0.0518425783256292
"abyes","a","b","y","e","s","abyes",24292,1.55957883923986,10893,0.699345146379045,975,95,241,2607,4032,0.51040061633282,0,95,241,0,4032,0.280431432973806,0.772695172059579,0.385159861325116
"abysm","a","b","y","s","m","abysm",19832,1.27324088341038,13123,0.842514124293785,975,95,241,637,248,0.140986132511556,0,95,241,637,248,0.0783898305084746,0.424049820236261,0.269420903954802
"acais","a","c","a","i","s","acis",19982,1.28287108371854,8913,0.572226502311248,975,227,1493,1138,4032,0.504943502824859,0,227,0,0,4032,0.273433487416538,0.699425398048279,0.348131741140216
"acari","a","c","a","r","i","acri",18147,1.16506163328197,7078,0.454417051874679,975,227,1493,857,399,0.253659476117103,0,227,0,857,0,0.0695942475603493,0.481510015408321,0.165799948638932
"accas","a","c","c","a","s","acs",15622,1.00295326142784,8913,0.572226502311248,975,227,472,1427,4032,0.457948125321007,0,227,472,0,4032,0.303736517719569,0.594199409347714,0.370859013867488
"accoy","a","c","c","o","y","acoy",16164,1.03775038520801,4810,0.308808423215203,975,227,472,848,1605,0.264958911145352,0,227,472,0,1605,0.147919876733436,0.458156779661017,0.188142013353878
"acerb","a","c","e","r","b","acerb",22355,1.43522085259373,8956,0.574987159732922,975,227,1046,857,89,0.205059065228557,0,227,0,857,89,0.0753081664098613,0.512599512069851,0.200227914740627
"acers","a","c","e","r","s","acers",27036,1.73574730354391,13637,0.875513610683102,975,227,1046,857,4032,0.458204930662558,0,227,0,857,4032,0.328454031843862,0.777590523882897,0.465218926553672
"aceta","a","c","e","t","a","acet",19447,1.24852336928608,6048,0.38828967642527,975,227,1046,1043,1024,0.277028762198254,0,227,0,1043,0,0.0815356959424756,0.519902413970211,0.158224191063174
"achar","a","c","h","a","r","achr",15930,1.02272727272727,9221,0.592000513610683,975,227,177,1427,824,0.233050847457627,0,227,177,0,824,0.078839239856189,0.430469953775038,0.207129558294813
"ached","a","c","h","e","d","ached",20546,1.31908063687725,7147,0.458846944016436,975,227,177,2607,902,0.313816127375449,0,227,177,0,902,0.0838469440164355,0.565132254750899,0.177596944016436
"aches","a","c","h","e","s","aches",24455,1.57004365690806,11056,0.709809964047252,975,227,177,2607,4032,0.514766307139188,0,227,177,0,4032,0.284797123780175,0.778585644581407,0.391050333846944
"achoo","a","c","h","o","o","acho",15851,1.01765536723164,4497,0.288713405238829,975,227,177,848,506,0.175462249614792,0,227,177,0,0,0.0259373394966615,0.386010529019004,0.0916313559322034
"acids","a","c","i","d","s","acids",22632,1.45300462249615,11563,0.742360041088855,975,227,1227,537,4032,0.449280945043657,0,227,0,537,4032,0.307909604519774,0.70021186440678,0.416522213662044
"acidy","a","c","i","d","y","acidy",18529,1.1895865434001,7460,0.478941961992809,975,227,1227,537,1605,0.293464304057524,0,227,0,537,1605,0.152092963533641,0.517494863893169,0.233805213148433
"acing","a","c","i","n","g","acing",18692,1.20005136106831,7623,0.489406779661017,975,227,1227,918,181,0.226502311248074,0,227,0,918,181,0.0851309707241911,0.469889573703133,0.186199922958398
"acini","a","c","i","n","i","acin",16871,1.08314072932717,5802,0.372496147919877,975,227,1227,918,399,0.240498202362609,0,227,0,918,0,0.0735105290190036,0.451158834103749,0.148256933744222
"ackee","a","c","k","e","e","acke",17522,1.12493579866461,4123,0.264702105803801,975,227,334,2607,1866,0.385785824345146,0,227,334,0,0,0.0360169491525424,0.570573317925013,0.093188238315357
"acker","a","c","k","e","r","acker",22246,1.42822290703647,8847,0.567989214175655,975,227,334,2607,824,0.318888032871084,0,227,334,0,824,0.0889188495120699,0.596221751412429,0.208686440677966
"acmes","a","c","m","e","s","acmes",24542,1.5756291730868,11143,0.715395480225989,975,227,597,2607,4032,0.541730868002054,0,227,597,0,4032,0.311761684643041,0.800205444273241,0.412670133538778
"acmic","a","c","m","i","c","acmi",15653,1.00494350282486,4584,0.294298921417565,975,227,597,1138,173,0.199666153055984,0,227,597,0,173,0.0640087313816127,0.400985490498202,0.121581278890601
"acned","a","c","n","e","d","acned",21851,1.40286337955829,8452,0.542629686697483,975,227,1163,2607,902,0.377118644067797,0,227,1163,0,902,0.147149460708783,0.633554827940421,0.246019517205958
"acnes","a","c","n","e","s","acnes",25760,1.65382639958911,12361,0.7935927067283,975,227,1163,2607,4032,0.578068823831536,0,227,1163,0,4032,0.348099640472522,0.84700821777093,0.459472907036466
"acock","a","c","o","c","k","acok",15477,0.99364406779661,4123,0.264702105803801,975,227,1181,509,339,0.207434514637904,0,227,0,509,339,0.0690164355418593,0.403986902927581,0.117937853107345
"acold","a","c","o","l","d","acold",20106,1.29083204930663,8752,0.561890087313816,975,227,1181,909,902,0.269260400616333,0,227,0,909,902,0.130842321520288,0.524653312788906,0.23860426296867
"acred","a","c","r","e","d","acred",23127,1.4847842835131,9728,0.624550590652286,975,227,1484,2607,902,0.397727272727273,0,227,1484,0,902,0.167758089368259,0.669491525423729,0.281956214689266
"acres","a","c","r","e","s","acres",27036,1.73574730354391,13637,0.875513610683102,975,227,1484,2607,4032,0.598677452491012,0,227,1484,0,4032,0.368708269131998,0.882944915254237,0.495409604519774
"acros","a","c","r","o","s","acros",24991,1.60445557267591,13637,0.875513610683102,975,227,1484,848,4032,0.485747303543914,0,227,1484,0,4032,0.368708269131998,0.765424370826913,0.495409604519774
"acted","a","c","t","e","d","acted",22097,1.41865690806369,8698,0.558423215202876,975,227,745,2607,902,0.350282485875706,0,227,745,0,902,0.120313302516692,0.617376091422702,0.229840780688238
"actin","a","c","t","i","n","actin",20565,1.32030046224961,9496,0.609655880842321,975,227,745,1138,721,0.244350282485876,0,227,745,0,721,0.108692860811505,0.513337827426811,0.233933615819209
"acton","a","c","t","o","n","acton",20850,1.33859784283513,9496,0.609655880842321,975,227,745,848,721,0.225731895223421,0,227,745,0,721,0.108692860811505,0.503948382126348,0.233933615819209
"acyls","a","c","y","l","s","acyls",21826,1.4012583461736,15117,0.970531587057011,975,227,241,909,4032,0.409861325115562,0,227,241,909,4032,0.347265023112481,0.657710580380072,0.503081664098613
"adaws","a","d","a","w","s","adws",17163,1.1018875192604,10454,0.671160760143811,975,107,1493,158,4032,0.434322033898305,0,107,0,158,4032,0.275873138161274,0.601213405238829,0.374695043656908
"adays","a","d","a","y","s","adys",18374,1.179635336415,11665,0.748908577298408,975,107,1493,146,4032,0.433551617873652,0,107,0,146,4032,0.27510272213662,0.620072547508988,0.393554185927067
"adbot","a","d","b","o","t","adbot",19576,1.2568053415511,8222,0.527863379558295,975,107,424,848,895,0.208590138674884,0,107,424,0,895,0.0915511042629687,0.470643939393939,0.2006291730868
"addax","a","d","d","a","x","adx",9695,0.622431946584489,2986,0.191705187467899,975,107,475,1427,89,0.197290703646636,0,107,475,0,89,0.0430790960451977,0.303576014381099,0.0802356189008731
"added","a","d","d","e","d","ade",16049,1.03036723163842,2650,0.170133538777607,975,107,475,2607,902,0.325243965074474,0,107,475,0,902,0.0952747817154597,0.50152478171546,0.113989470980996
"adder","a","d","d","e","r","ader",20773,1.33365434001027,7374,0.473420647149461,975,107,475,2607,824,0.320236260914227,0,107,475,0,824,0.0902670775552132,0.573590780688238,0.186055469953775
"addio","a","d","d","i","o","adio",18364,1.17899332306112,2650,0.170133538777607,975,107,475,1138,506,0.205508474576271,0,107,475,0,0,0.0373651771956857,0.448879686697483,0.0705572675911659
"addle","a","d","d","l","e","adle",19797,1.2709938366718,6398,0.410760143810991,975,107,475,909,1866,0.278120184899846,0,107,475,909,0,0.0957241910631741,0.526338597842835,0.174483179250128
"adeem","a","d","e","e","m","adem",18279,1.17353620955316,4880,0.313302516692347,975,107,1046,2607,248,0.319915254237288,0,107,0,0,248,0.0227914740626605,0.533320493066256,0.0954192347200822
"adhan","a","d","h","a","n","adhn",14950,0.959809964047252,8241,0.529083204930663,975,107,177,1427,721,0.218733949666153,0,107,177,0,721,0.064522342064715,0.404002953261428,0.180662557781202
"adieu","a","d","i","e","u","adieu",23474,1.50706214689266,2650,0.170133538777607,975,107,1227,2607,100,0.322033898305085,0,107,0,0,0,0.00686954288649204,0.618290960451977,0.0476855418592707
"adios","a","d","i","o","s","adios",24923,1.60008988186954,9209,0.59123009758603,975,107,1227,848,4032,0.461543400102722,0,107,0,0,4032,0.265729327170005,0.746180020544427,0.347104519774011
"adits","a","d","i","t","s","adits",23972,1.53903441191577,12903,0.828389830508475,975,107,1227,1043,4032,0.474062660503338,0,107,0,1043,4032,0.332691319979456,0.740305598356446,0.45661594761171
"adman","a","d","m","a","n","admn",15037,0.965395480225989,8328,0.534668721109399,975,107,597,1427,721,0.245698510529019,0,107,597,0,721,0.0914869029275809,0.425622752953261,0.202282357473035
"admen","a","d","m","e","n","admen",21727,1.39490241397021,8328,0.534668721109399,975,107,597,2607,721,0.321456086286595,0,107,597,0,721,0.0914869029275809,0.589817668207499,0.202282357473035
"admix","a","d","m","i","x","admix",16285,1.04551874678993,5216,0.33487416538264,975,107,597,1138,89,0.186569080636877,0,107,597,0,89,0.0509116589625064,0.401306497175141,0.12190228556754
"adobo","a","d","o","b","o","adob",15882,1.01964560862866,4528,0.29070364663585,975,107,1181,307,506,0.197483307652799,0,107,0,307,0,0.0265793528505393,0.403023882896764,0.092610426296867
"adown","a","d","o","w","n","adown",18697,1.20037236774525,7343,0.47143040575244,975,107,1181,158,721,0.201720595788392,0,107,0,158,721,0.0633025166923472,0.451383538777607,0.16533448895737
"adoze","a","d","o","z","e","adoze",21167,1.35894966615306,3123,0.200500770416025,975,107,1181,157,1866,0.275166923472008,0,107,0,157,0,0.0169491525423729,0.54611260914227,0.0628370570107858
"adrad","a","d","r","a","d","adr",14083,0.90414740626605,7374,0.473420647149461,975,107,1484,1427,902,0.314265536723164,0,107,1484,0,902,0.160053929121726,0.461736004108885,0.238395608628659
"adred","a","d","r","e","d","adre",20773,1.33365434001027,7374,0.473420647149461,975,107,1484,2607,902,0.39002311248074,0,107,1484,0,902,0.160053929121726,0.625930919363123,0.238395608628659
"adsum","a","d","s","u","m","adsum",21213,1.36190292758089,11439,0.73439907550077,975,107,649,547,248,0.162172573189522,0,107,649,0,248,0.0644581407293272,0.462105161787365,0.231943374422188
"aduki","a","d","u","k","i","aduki",18553,1.19112737544941,4419,0.283705701078582,975,107,803,570,399,0.183230611196713,0,107,0,570,0,0.0434643040575244,0.435204802259887,0.103524653312789
"adunc","a","d","u","n","c","adunc",18226,1.17013353877761,8452,0.542629686697483,975,107,803,918,173,0.191063174114022,0,107,0,918,173,0.0769131997945557,0.435830765279918,0.193342321520288
"adust","a","d","u","s","t","adust",22677,1.4558936825886,12903,0.828389830508475,975,107,803,637,895,0.219375963020031,0,107,0,637,895,0.105225988700565,0.528505392912173,0.286016949152542
"advew","a","d","v","e","w","advew",18088,1.16127375449409,4689,0.301040061633282,975,107,274,2607,78,0.259437596302003,0,107,274,0,78,0.0294684129429892,0.484896635850026,0.0973613251155624
"adyta","a","d","y","t","a","adyt",15509,0.995698510529019,8800,0.564971751412429,975,107,241,1043,1024,0.217642526964561,0,107,241,1043,0,0.0893040575243965,0.412156522855675,0.208220980996405
"adzed","a","d","z","e","d","adze",16522,1.06073446327684,3123,0.200500770416025,975,107,163,2607,902,0.305213148433487,0,107,163,0,902,0.0752439650744735,0.494093477144325,0.106558166409861
"adzes","a","d","z","e","s","adzes",23081,1.48183102208526,9682,0.621597329224448,975,107,163,2607,4032,0.506163328197227,0,107,163,0,4032,0.276194144838213,0.750080251669235,0.362544940934771
"aecia","a","e","c","i","a","aeci",20113,1.29128145865434,2354,0.151129943502825,975,1966,472,1138,1024,0.357922444786852,0,0,472,0,0,0.0303030303030303,0.591262198253724,0.0605097586029789
"aedes","a","e","d","e","s","aeds",22608,1.45146379044684,9209,0.59123009758603,975,1966,475,2607,4032,0.645544427324088,0,0,475,0,4032,0.289355418592707,0.847024268104777,0.364824088341038
"aegis","a","e","g","i","s","aegis",26139,1.67815870570108,8380,0.538007190549563,975,1966,421,1138,4032,0.547765793528505,0,0,421,0,4032,0.285888546481767,0.830364021571649,0.348918207498716
"aeons","a","e","o","n","s","aeons",28051,1.80091165896251,10007,0.642462763225475,975,1966,1181,918,4032,0.582434514637905,0,0,0,918,4032,0.317796610169492,0.887053800719055,0.398963148433487
"aerie","a","e","r","i","e","aeri",22483,1.44343862352337,4724,0.303287108371854,975,1966,1484,1138,1866,0.476951720595788,0,0,1484,0,0,0.0952747817154597,0.718573446327684,0.147277863379558
"aeros","a","e","r","o","s","aeros",29327,1.88283256291731,11283,0.724383667180277,975,1966,1484,848,4032,0.597393425783256,0,0,1484,0,4032,0.354134565998973,0.918753210066769,0.446696841294299
"aesir","a","e","s","i","r","aesir",29042,1.86453518233179,11283,0.724383667180277,975,1966,649,1138,824,0.356445814072933,0,0,649,0,824,0.0945685670261942,0.733468156137648,0.252022342064715
"afald","a","f","a","l","d","afld",14236,0.91397021058038,7527,0.48324345146379,975,31,1493,909,902,0.276707755521315,0,31,0,909,902,0.118258859784284,0.436023369286081,0.20950500770416
"afara","a","f","a","r","a","afr",12562,0.806497175141243,5853,0.375770416024653,975,31,1493,857,1024,0.281201848998459,0,31,0,857,0,0.0570107858243451,0.412525680534155,0.136700693374422
"afars","a","f","a","r","s","afrs",19121,1.22759373394967,12412,0.796866974833077,975,31,1493,857,4032,0.47431946584489,0,31,0,857,4032,0.315870570107858,0.662638032871084,0.436119671289163
"afear","a","f","e","a","r","afer",19252,1.23600410888546,5853,0.375770416024653,975,31,1046,1427,824,0.2762583461736,0,31,0,0,824,0.0548921417565485,0.516194786851567,0.135111710323575
"aflaj","a","f","l","a","j","aflj",11950,0.767205957883924,5241,0.336479198767334,975,31,1006,1427,3,0.220980996404725,0,31,1006,0,3,0.0667693888032871,0.357537236774525,0.134196841294299
"afore","a","f","o","r","e","afore",23897,1.53421931176168,5853,0.375770416024653,975,31,1181,857,1866,0.31522855675398,0,31,0,857,0,0.0570107858243451,0.619976245505907,0.136700693374422
"afrit","a","f","r","i","t","afrit",20616,1.32357473035439,9547,0.612930148947098,975,31,1484,1138,895,0.290382639958911,0,31,1484,0,895,0.15472521828454,0.548680662557781,0.26927645095018
"afros","a","f","r","o","s","afros",23766,1.52580893682589,12412,0.796866974833077,975,31,1484,848,4032,0.47316384180791,0,31,1484,0,4032,0.356124807395994,0.736325115562404,0.466310349255264
"agama","a","g","a","m","a","agm",10760,0.69080636877247,4051,0.260079609655881,975,91,1493,479,1024,0.260785824345146,0,91,0,479,0,0.0365947611710324,0.368290960451977,0.0924659732922445
"agami","a","g","a","m","i","agmi",15120,0.970724191063174,4051,0.260079609655881,975,91,1493,479,399,0.220659989727786,0,91,0,479,0,0.0365947611710324,0.408176040061633,0.0924659732922445
"agars","a","g","a","r","s","agrs",19813,1.27202105803801,13104,0.841294298921418,975,91,1493,857,4032,0.478171545968156,0,91,0,857,4032,0.319722650231125,0.676633923985619,0.450115562403698
"agast","a","g","a","s","t","agst",18783,1.2058936825886,12074,0.775166923472008,975,91,1493,637,895,0.262647663071392,0,91,0,637,895,0.104198767334361,0.498459167950693,0.271940806368772
"agave","a","g","a","v","e","agve",16014,1.02812018489985,2615,0.167886492039034,975,91,1493,202,1866,0.29705957883924,0,91,0,202,0,0.0188109912686184,0.479824730354391,0.0560798664612224
"agaze","a","g","a","z","e","agze",15693,1.00751155624037,2294,0.147277863379558,975,91,1493,157,1866,0.29417051874679,0,91,0,157,0,0.0159219311761685,0.472505778120185,0.0487609142270159
"agene","a","g","e","n","e","agen",18668,1.198510529019,5269,0.338276836158192,975,91,1046,918,1866,0.314329738058552,0,91,0,918,0,0.064779147406266,0.535374935798665,0.133153569594248
"agers","a","g","e","r","s","agers",26503,1.70152799178223,13104,0.841294298921418,975,91,1046,857,4032,0.44947354904982,0,91,0,857,4032,0.319722650231125,0.762487159732922,0.450115562403698
"agger","a","g","g","e","r","ager",19944,1.28043143297381,6545,0.420197740112994,975,91,421,2607,824,0.315742167437083,0,91,421,0,824,0.0857729840780688,0.556914483821263,0.1693791730868
"aggie","a","g","g","i","e","agie",19580,1.25706214689266,1821,0.11691063174114,975,91,421,1138,1866,0.288328197226502,0,91,421,0,0,0.0328710837185413,0.530511684643041,0.0538809707241911
"aggri","a","g","g","r","i","agri",17614,1.13084232152029,6545,0.420197740112994,975,91,421,857,399,0.17610426296867,0,91,421,857,0,0.0878916281458654,0.414788777606574,0.170968156137648
"aggro","a","g","g","r","o","agro",17899,1.1491397021058,6545,0.420197740112994,975,91,421,857,506,0.182973805855162,0,91,421,857,0,0.0878916281458654,0.424515279917822,0.170968156137648
"aggry","a","g","g","r","y","agry",15710,1.00860297894196,9001,0.577876219825372,975,91,421,857,1605,0.253531073446328,0,91,421,857,1605,0.190934771443246,0.442299049820236,0.287670133538778
"aghas","a","g","h","a","s","aghs",17232,1.10631741140216,10523,0.675590652285568,975,91,177,1427,4032,0.430277349768875,0,91,177,0,4032,0.276065742167437,0.599287365177196,0.37594696969697
"agila","a","g","i","l","a","agil",16638,1.06818181818182,5569,0.357537236774525,975,91,1227,909,1024,0.271314843348742,0,91,0,909,0,0.0642013353877761,0.470531587057011,0.137535310734463
"agios","a","g","i","o","s","agios",24094,1.54686697483308,8380,0.538007190549563,975,91,1227,848,4032,0.460516178736518,0,91,0,0,4032,0.264702105803801,0.732103877760657,0.333028376990241
"agism","a","g","i","s","m","agism",21679,1.3918207498716,10610,0.681176168464304,975,91,1227,637,248,0.204031843862352,0,91,0,637,248,0.0626605033384694,0.500979070364664,0.217289419619928
"agist","a","g","i","s","t","agist",23143,1.4858115048793,12074,0.775166923472008,975,91,1227,637,895,0.245570107858243,0,91,0,637,895,0.104198767334361,0.555630457113508,0.271940806368772
"agita","a","g","i","t","a","agit",16584,1.06471494607088,5515,0.354070364663585,975,91,1227,1043,1024,0.279917822290704,0,91,0,1043,0,0.0728043143297381,0.476117103235747,0.1431208269132
"aglee","a","g","l","e","e","agle",18968,1.21777092963534,5569,0.357537236774525,975,91,1006,2607,1866,0.420197740112994,0,91,1006,0,0,0.0704288649203903,0.61959103749358,0.142205957883924
"aglet","a","g","l","e","t","aglet",22662,1.45493066255778,9263,0.59469696969697,975,91,1006,2607,895,0.357858243451464,0,91,1006,0,895,0.12788906009245,0.632126348228043,0.24459103749358
