"L","Match","PM_1","PM_2","PM_3","PM_4","PM_5"
"a","2181","296","930","605","339","178"
"b","669","432","32","128","99","24"
"c","920","440","82","184","210","48"
"d","1100","311","43","178","218","431"
"e","2658","129","660","397","1228","595"
"f","502","318","12","87","100","44"
"g","651","279","24","139","176","61"
"h","791","239","271","39","73","192"
"i","1539","74","673","516","284","45"
"j","88","73","4","8","4","0"
"k","574","91","29","90","243","143"
"l","1434","271","360","388","365","202"
"m","794","298","71","209","188","77"
"n","1219","118","168","410","386","203"
"o","1683","108","911","484","262","150"
"p","895","386","113","169","196","91"
"q","53","39","10","4","0","0"
"r","1799","268","456","475","310","401"
"s","2674","724","40","248","257","1764"
"t","1462","376","122","280","447","360"
"u","1068","75","534","313","154","13"
"v","309","109","27","121","61","0"
"w","501","228","81","98","70","28"
"x","138","4","33","67","5","30"
"y","868","47","65","68","41","665"
"z","121","24","6","52","41","12"
