"Word","Letter_1","Letter_2","Letter_3","Letter_4","Letter_5","UniqueLetters"
"which","w","h","i","c","h","whic"
"there","t","h","e","r","e","ther"
"their","t","h","e","i","r","their"
"about","a","b","o","u","t","about"
"would","w","o","u","l","d","would"
"these","t","h","e","s","e","thes"
"other","o","t","h","e","r","other"
"words","w","o","r","d","s","words"
"could","c","o","u","l","d","could"
"write","w","r","i","t","e","write"
"first","f","i","r","s","t","first"
"water","w","a","t","e","r","water"
"after","a","f","t","e","r","after"
"where","w","h","e","r","e","wher"
"right","r","i","g","h","t","right"
"think","t","h","i","n","k","think"
"three","t","h","r","e","e","thre"
"years","y","e","a","r","s","years"
"place","p","l","a","c","e","place"
"sound","s","o","u","n","d","sound"
"great","g","r","e","a","t","great"
"again","a","g","a","i","n","agin"
"still","s","t","i","l","l","stil"
"every","e","v","e","r","y","evry"
"small","s","m","a","l","l","smal"
"found","f","o","u","n","d","found"
"those","t","h","o","s","e","those"
"never","n","e","v","e","r","nevr"
"under","u","n","d","e","r","under"
"might","m","i","g","h","t","might"
"while","w","h","i","l","e","while"
"house","h","o","u","s","e","house"
"world","w","o","r","l","d","world"
"below","b","e","l","o","w","below"
"asked","a","s","k","e","d","asked"
"going","g","o","i","n","g","goin"
"large","l","a","r","g","e","large"
"until","u","n","t","i","l","until"
"along","a","l","o","n","g","along"
"shall","s","h","a","l","l","shal"
"being","b","e","i","n","g","being"
"often","o","f","t","e","n","often"
"earth","e","a","r","t","h","earth"
"began","b","e","g","a","n","began"
"since","s","i","n","c","e","since"
"study","s","t","u","d","y","study"
"night","n","i","g","h","t","night"
"light","l","i","g","h","t","light"
"above","a","b","o","v","e","above"
"paper","p","a","p","e","r","paer"
"parts","p","a","r","t","s","parts"
"young","y","o","u","n","g","young"
"story","s","t","o","r","y","story"
"point","p","o","i","n","t","point"
"times","t","i","m","e","s","times"
"heard","h","e","a","r","d","heard"
"whole","w","h","o","l","e","whole"
"white","w","h","i","t","e","white"
"given","g","i","v","e","n","given"
"means","m","e","a","n","s","means"
"music","m","u","s","i","c","music"
"miles","m","i","l","e","s","miles"
"thing","t","h","i","n","g","thing"
"today","t","o","d","a","y","today"
"later","l","a","t","e","r","later"
"using","u","s","i","n","g","using"
"money","m","o","n","e","y","money"
"lines","l","i","n","e","s","lines"
"order","o","r","d","e","r","orde"
"group","g","r","o","u","p","group"
"among","a","m","o","n","g","among"
"learn","l","e","a","r","n","learn"
"known","k","n","o","w","n","know"
"space","s","p","a","c","e","space"
