"L","Match","PM_1","PM_2","PM_3","PM_4","PM_5"
"a","3875","634","1406","872","877","679"
"b","1074","628","55","261","154","64"
"c","1456","635","152","237","374","148"
"d","1313","383","69","288","228","431"
"e","3637","195","1029","572","1202","1257"
"f","589","360","20","95","111","75"
"g","1041","399","48","254","281","120"
"h","1283","263","461","98","140","361"
"i","2451","128","795","704","747","207"
"j","161","113","8","23","18","1"
"k","839","197","61","142","204","278"
"l","2189","321","512","507","502","526"
"m","1228","401","137","315","253","195"
"n","2061","207","350","601","513","543"
"o","2491","174","1143","704","483","297"
"p","1213","505","178","233","206","171"
"q","84","57","12","15","0","0"
"r","2862","395","685","806","503","655"
"s","2209","1131","83","342","471","357"
"t","2191","584","223","426","471","678"
"u","1814","246","728","473","372","62"
"v","449","134","42","152","136","2"
"w","679","274","127","145","80","59"
"x","188","15","37","58","12","67"
"y","1575","67","119","108","69","1243"
"z","227","52","18","67","91","22"
