"Word","Letter_1","Letter_2","Letter_3","Letter_4","Letter_5","UniqueLetters","MatchNum","Y","MatchNum_Cons","Y_Cons","Green_1_Total","Green_2_Total","Green_3_Total","Green_4_Total","Green_5_Total","G","Green_1_Total_Cons","Green_2_Total_Cons","Green_3_Total_Cons","Green_4_Total_Cons","Green_5_Total_Cons","G_Cons","C","C_Cons"
"aalii","a","a","l","i","i","ali",5151,0.894892286309937,1433,0.248957609451008,295,929,387,283,44,0.336692147324531,0,0,387,0,0,0.0672341904100069,0.476242182070883,0.112665045170257
"abaca","a","b","a","c","a","abc",3767,0.654447533009034,1587,0.275712300208478,295,31,604,209,177,0.228630993745657,0,31,0,209,0,0.0416956219596942,0.335085128561501,0.10019979152189
"aback","a","b","a","c","k","abck",4340,0.753995830437804,2160,0.375260597637248,295,31,604,209,142,0.222550382209868,0,31,0,209,142,0.06636553161918,0.355411744266852,0.143589298123697
"abaff","a","b","a","f","f","abf",3349,0.5818276580959,1169,0.203092425295344,295,31,604,99,43,0.186240444753301,0,31,0,99,43,0.0300555941626129,0.285137248088951,0.0733148019457957
"abaft","a","b","a","f","t","abft",4810,0.835649756775539,2630,0.456914523974983,295,31,604,99,359,0.241139680333565,0,31,0,99,359,0.084954829742877,0.389767199444058,0.177944753300903
"abase","a","b","a","s","e","abse",8178,1.42077831827658,3341,0.580437804030577,295,31,604,256,594,0.309242529534399,0,31,0,256,0,0.0498610145934677,0.587126476719944,0.182505211952745
"abash","a","b","a","s","h","absh",6311,1.09642112578179,4131,0.717685892981237,295,31,604,256,191,0.239228630993746,0,31,0,256,191,0.0830437804030577,0.453526754690757,0.241704308547602
"abask","a","b","a","s","k","absk",6094,1.0587213342599,3914,0.679986101459347,295,31,604,256,142,0.230715774843641,0,31,0,256,142,0.0745309242529534,0.437717164697707,0.225894718554552
"abate","a","b","a","t","e","abte",6966,1.21021542738013,2129,0.369874913134121,295,31,604,446,594,0.342251563585823,0,31,0,446,0,0.0828700486448923,0.559242529534399,0.154621264767199
"abave","a","b","a","v","e","abve",5813,1.00990271021543,976,0.169562195969423,295,31,604,60,594,0.275191104933982,0,31,0,60,0,0.0158095899930507,0.458869006254343,0.0542477414871438
"abaze","a","b","a","z","e","abze",5625,0.977241139680334,788,0.136900625434329,295,31,604,40,594,0.271716469770674,0,31,0,40,0,0.0123349548297429,0.448097637248089,0.0434763724808895
"abbas","a","b","b","a","s","abs",5521,0.959173036831133,3341,0.580437804030577,295,31,127,338,1763,0.443710910354413,0,31,127,0,1763,0.333738707435719,0.572576441973593,0.395413481584434
"abbey","a","b","b","e","y","abey",6372,1.10701876302988,1535,0.266678248783878,295,31,127,1227,664,0.40722724113968,0,31,127,0,664,0.142807505211953,0.582175121612231,0.173775191104934
"abbot","a","b","b","o","t","abot",5991,1.04082696316887,2129,0.369874913134121,295,31,127,261,359,0.186414176511466,0,31,127,0,359,0.089819318971508,0.400017373175817,0.159833217512161
"abdal","a","b","d","a","l","abdl",5380,0.934676858929812,3200,0.555941626129256,295,31,177,338,201,0.181028492008339,0,31,177,0,201,0.0710562890896456,0.369440583738707,0.192277623349548
"abdat","a","b","d","a","t","abdt",5408,0.939541348158443,3228,0.560806115357887,295,31,177,338,359,0.208478109798471,0,31,177,0,359,0.0985059068797776,0.391243919388464,0.214080958999305
"abeam","a","b","e","a","m","abem",6298,1.09416261292564,1461,0.253822098679639,295,31,396,338,76,0.197359277275886,0,31,0,0,76,0.018589298123697,0.421560111188325,0.0773974982626824
"abear","a","b","e","a","r","aber",7303,1.26876302988186,2466,0.428422515635858,295,31,396,338,400,0.253648366921473,0,31,0,0,400,0.0748783877692842,0.507427032661571,0.163264419735928
"abele","a","b","e","l","e","abel",6938,1.20535093815149,2101,0.36501042390549,295,31,396,364,594,0.29186935371786,0,31,0,364,0,0.0686240444753301,0.520239749826268,0.14272063933287
"abhor","a","b","h","o","r","abhor",7118,1.23662265462126,3256,0.565670604586518,295,31,38,261,400,0.178075052119527,0,31,38,0,400,0.0814801945795691,0.442711952744962,0.202527797081306
"abide","a","b","i","d","e","abide",8142,1.41452397498263,1767,0.306984016678249,295,31,515,217,594,0.287004864489229,0,31,0,217,0,0.0430854760250174,0.568884642112578,0.109060111188325
"abidi","a","b","i","d","i","abid",5485,0.952918693537179,1767,0.306984016678249,295,31,515,217,44,0.191452397498263,0,31,0,217,0,0.0430854760250174,0.381818971507992,0.109060111188325
"abilo","a","b","i","l","o","abilo",7501,1.30316191799861,2101,0.36501042390549,295,31,515,364,149,0.235232800555942,0,31,0,364,0,0.0686240444753301,0.502215079916609,0.14272063933287
"abkar","a","b","k","a","r","abkr",5219,0.906706045865184,3039,0.527970813064628,295,31,89,338,400,0.200312717164698,0,31,89,0,400,0.0903405142460042,0.376911049339819,0.19974808895066
"abler","a","b","l","e","r","abler",8736,1.51772063933287,3899,0.677380125086866,295,31,387,1227,400,0.406532314107019,0,31,387,0,400,0.142112578179291,0.684329395413482,0.275929464906185
"ablow","a","b","l","o","w","ablow",6463,1.12282835302293,2601,0.451876302988186,295,31,387,261,27,0.173905489923558,0,31,387,0,27,0.0773106323835997,0.411136205698402,0.170952050034746
"abmho","a","b","m","h","o","abmho",6113,1.06202223766505,2251,0.391070187630299,295,31,208,72,149,0.131167477414871,0,31,208,72,0,0.0540305767894371,0.363881167477415,0.138290479499653
"abnet","a","b","n","e","t","abnet",8184,1.42182070882557,3347,0.581480194579569,295,31,409,1227,359,0.403231410701876,0,31,409,0,359,0.138811674774149,0.6578787352328,0.249478804725504
"abode","a","b","o","d","e","abode",8286,1.43954134815844,1767,0.306984016678249,295,31,483,217,594,0.281445448227936,0,31,0,217,0,0.0430854760250174,0.570969423210563,0.109060111188325
"abody","a","b","o","d","y","abody",6496,1.12856150104239,2634,0.457609451007644,295,31,483,217,664,0.293606671299514,0,31,0,217,664,0.158443363446838,0.502345378735233,0.23323488533704
"abohm","a","b","o","h","m","abohm",6113,1.06202223766505,2251,0.391070187630299,295,31,483,72,76,0.166261292564281,0,31,0,72,76,0.0310979847116053,0.390201528839472,0.121091035441279
"aboil","a","b","o","i","l","aboil",7501,1.30316191799861,2101,0.36501042390549,295,31,483,283,201,0.224635163307853,0,31,0,0,201,0.0403057678943711,0.494266851980542,0.121481931897151
"aboma","a","b","o","m","a","abom",5323,0.924774148714385,1461,0.253822098679639,295,31,483,187,177,0.203787352328006,0,31,0,187,0,0.0378735232800556,0.3840340514246,0.0918606671299513
"aboon","a","b","o","o","n","abon",5748,0.998610145934677,1886,0.327658095899931,295,31,483,261,202,0.220986796386379,0,31,0,0,202,0.0404794996525365,0.415392633773454,0.112274148714385
"abord","a","b","o","r","d","abord",7427,1.29030576789437,3565,0.619353717859625,295,31,483,309,430,0.268936761640028,0,31,0,309,430,0.133773453787352,0.524279013203614,0.25516851980542
"abort","a","b","o","r","t","abort",7789,1.35319666435024,3927,0.682244614315497,295,31,483,309,359,0.256601806810285,0,31,0,309,359,0.121438498957609,0.530750521195275,0.261640027797081
"about","a","b","o","u","t","about",7058,1.22619874913134,2129,0.369874913134121,295,31,483,153,359,0.229499652536484,0,31,0,0,359,0.0677553856845031,0.478674426685198,0.143285267546908
"above","a","b","o","v","e","above",7495,1.30211952744962,976,0.169562195969423,295,31,483,60,594,0.254169562195969,0,31,0,60,0,0.0158095899930507,0.516157053509382,0.0542477414871438
"abret","a","b","r","e","t","abret",8764,1.5225851285615,3927,0.682244614315497,295,31,474,1227,359,0.414523974982627,0,31,474,0,359,0.150104239054899,0.691539263377345,0.283139332870049
"abrim","a","b","r","i","m","abrim",6977,1.21212647671994,3259,0.566191799861015,295,31,474,283,76,0.20135510771369,0,31,474,0,76,0.100938151494093,0.454047949965254,0.217251563585823
"abrin","a","b","r","i","n","abrin",7402,1.28596247394024,3684,0.640027797081306,295,31,474,283,202,0.22324530924253,0,31,474,0,202,0.122828353022933,0.488924600416956,0.252128214037526
"absit","a","b","s","i","t","absit",8520,1.48019457956915,4802,0.834259902710215,295,31,247,283,359,0.211084086170952,0,31,247,0,359,0.110667129951355,0.5283617095205,0.29156532314107
"abuna","a","b","u","n","a","abun",5133,0.89176511466296,1886,0.327658095899931,295,31,312,385,177,0.208478109798471,0,31,0,385,0,0.0722724113968033,0.379299861014593,0.136118832522585
"abura","a","b","u","r","a","abur",5713,0.992529534398888,2466,0.428422515635858,295,31,312,309,177,0.195274496177901,0,31,0,309,0,0.0590687977762335,0.394588255733148,0.15140722724114
"abuse","a","b","u","s","e","abuse",9245,1.60615010423905,3341,0.580437804030577,295,31,312,256,594,0.258512856150104,0,31,0,256,0,0.0498610145934677,0.595422168172342,0.182505211952745
"abuzz","a","b","u","z","z","abuz",4035,0.701007644197359,788,0.136900625434329,295,31,312,40,11,0.119701181375956,0,31,0,40,11,0.0142460041695622,0.265027797081306,0.044909659485754
"abwab","a","b","w","a","b","abw",3348,0.581653926337734,1168,0.202918693537179,295,31,97,338,23,0.136205698401668,0,31,97,0,23,0.0262334954829743,0.247567755385684,0.0704047949965254
"abysm","a","b","y","s","m","abysm",7181,1.24756775538568,5001,0.868832522585129,295,31,67,256,76,0.12595552466991,0,31,67,256,76,0.0747046560111188,0.406358582348853,0.273236622654621
"abyss","a","b","y","s","s","abys",6388,1.10979847116053,4208,0.731063238359972,295,31,67,256,1763,0.419041000694927,0,31,67,256,1763,0.367790132036136,0.591730368311327,0.458608408617095
"acana","a","c","a","n","a","acn",4317,0.75,2137,0.371264767199444,295,81,604,385,177,0.267894371091035,0,81,0,385,0,0.080958999305073,0.388420778318277,0.153535441278666
"acapu","a","c","a","p","u","acpu",5060,0.879082696316887,1813,0.314975677553857,295,81,604,195,12,0.206219596942321,0,81,0,195,0,0.0479499652536484,0.374435371785962,0.114706393328701
"acara","a","c","a","r","a","acr",4897,0.850764419735928,2717,0.472029186935372,295,81,604,309,177,0.254690757470466,0,81,0,309,0,0.0677553856845031,0.403709173036831,0.16882383599722
"acari","a","c","a","r","i","acri",6435,1.1179638637943,2717,0.472029186935372,295,81,604,309,44,0.231584433634468,0,81,0,309,0,0.0677553856845031,0.453179291174427,0.16882383599722
"acate","a","c","a","t","e","acte",7217,1.25382209867964,2380,0.413481584433634,295,81,604,446,594,0.350938151494093,0,81,0,446,0,0.0915566365531619,0.57665913829048,0.17203787352328
"accoy","a","c","c","o","y","acoy",5648,0.981236970118138,1786,0.310284920083391,295,81,183,261,664,0.257817929117443,0,81,183,0,664,0.161223071577484,0.438672689367616,0.198488533703961
"acedy","a","c","e","d","y","acedy",7722,1.34155663655316,2885,0.501216122307158,295,81,396,217,664,0.287178596247394,0,81,0,217,664,0.167129951355108,0.550773106323836,0.25065149409312
"acerb","a","c","e","r","b","acerb",8222,1.42842251563586,3385,0.588082001389854,295,81,396,309,23,0.191799861014593,0,81,0,309,23,0.0717512161223072,0.50095552466991,0.200833912439194
"achar","a","c","h","a","r","achr",5687,0.988012508686588,3507,0.609277275886032,295,81,38,338,400,0.200138985406532,0,81,38,0,400,0.0901667824878388,0.397107366226546,0.219944405837387
"acher","a","c","h","e","r","acher",8344,1.44961779013204,3507,0.609277275886032,295,81,38,1227,400,0.354586518415566,0,81,38,0,400,0.0901667824878388,0.628344336344684,0.219944405837387
"achor","a","c","h","o","r","achor",7369,1.28022932592078,3507,0.609277275886032,295,81,38,261,400,0.186761640027797,0,81,38,0,400,0.0901667824878388,0.460128561501042,0.219944405837387
"acier","a","c","i","e","r","acier",9092,1.57956914523975,2717,0.472029186935372,295,81,515,1227,400,0.437456567060459,0,81,0,0,400,0.0835649756775539,0.722984711605281,0.180681028492008
"acker","a","c","k","e","r","acker",8127,1.41191799861015,3290,0.571577484364142,295,81,89,1227,400,0.363446838082001,0,81,89,0,400,0.0990271021542738,0.625564628214038,0.217164697706741
"ackey","a","c","k","e","y","ackey",7196,1.25017373175817,2359,0.409833217512161,295,81,89,1227,664,0.409312022237665,0,81,89,0,664,0.144892286309937,0.61952744961779,0.211127519110493
"aclys","a","c","l","y","s","aclys",8072,1.40236275191105,5892,1.02362751911049,295,81,387,40,1763,0.445795691452398,0,81,387,40,1763,0.394544822793607,0.684937456567061,0.551815496872828
"acmic","a","c","m","i","c","acmi",5430,0.943363446838082,1712,0.297428769979152,295,81,208,283,47,0.158790826963169,0,81,208,0,47,0.0583738707435719,0.354933981931897,0.118137595552467
"acock","a","c","o","c","k","acok",5354,0.930159833217512,1492,0.259207783182766,295,81,483,209,142,0.210215427380125,0,81,0,209,142,0.0750521195274496,0.390201528839472,0.121091035441279
"acoin","a","c","o","i","n","acoin",7537,1.30941626129256,2137,0.371264767199444,295,81,483,283,202,0.233495482974288,0,81,0,0,202,0.0491660875608061,0.502475677553857,0.129690757470466
"acold","a","c","o","l","d","acold",7313,1.27050034746352,3451,0.59954829742877,295,81,483,364,430,0.287178596247394,0,81,0,364,430,0.152015288394719,0.533009034051425,0.263898540653231
"acoma","a","c","o","m","a","acom",5574,0.968380820013899,1712,0.297428769979152,295,81,483,187,177,0.212473940236275,0,81,0,187,0,0.0465601111883252,0.401450660180681,0.109277275886032
"acone","a","c","o","n","e","acone",8656,1.50382209867964,2137,0.371264767199444,295,81,483,385,594,0.319318971507992,0,81,0,385,0,0.080958999305073,0.615444753300903,0.153535441278666
"acorn","a","c","o","r","n","acorn",7797,1.35458651841557,3935,0.68363446838082,295,81,483,309,202,0.238012508686588,0,81,0,309,202,0.102849200833912,0.517156011118832,0.248045517720639
"acred","a","c","r","e","d","acred",8653,1.50330090340514,3816,0.662960389159138,295,81,474,1227,430,0.435545517720639,0,81,474,0,430,0.171125781792912,0.702484364141765,0.294084433634468
"acrid","a","c","r","i","d","acrid",7534,1.30889506601807,3816,0.662960389159138,295,81,474,283,430,0.271542738012509,0,81,474,0,430,0.171125781792912,0.530880820013899,0.294084433634468
"acron","a","c","r","o","n","acron",7797,1.35458651841557,3935,0.68363446838082,295,81,474,261,202,0.228109798471161,0,81,474,0,202,0.131514940931202,0.509728978457262,0.269544822793607
"acryl","a","c","r","y","l","acryl",7197,1.25034746351633,5017,0.871612230715775,295,81,474,40,201,0.189541348158443,0,81,474,40,201,0.138290479499653,0.454742876997915,0.321620917303683
"actin","a","c","t","i","n","actin",7316,1.27102154273801,3598,0.625086865879083,295,81,279,283,202,0.198054204308548,0,81,279,0,202,0.0976372480889507,0.466296038915914,0.229499652536484
"acton","a","c","t","o","n","acton",7460,1.29603891591383,3598,0.625086865879083,295,81,279,261,202,0.194232105628909,0,81,279,0,202,0.0976372480889507,0.469683808200139,0.229499652536484
"actor","a","c","t","o","r","actor",8040,1.39680333564976,4178,0.72585128561501,295,81,279,261,400,0.228630993745657,0,81,279,0,400,0.132036136205698,0.520674079221682,0.280489923558026
"acute","a","c","u","t","e","acute",8284,1.43919388464211,2380,0.413481584433634,295,81,312,446,594,0.300208478109798,0,81,0,446,0,0.0915566365531619,0.584954829742877,0.17203787352328
"adage","a","d","a","g","e","adge",6586,1.14419735927728,1749,0.303856845031272,295,42,604,175,594,0.297081306462821,0,42,0,175,0,0.0376997915218902,0.508860319666435,0.104239054899236
"adapt","a","d","a","p","t","adpt",5634,0.978804725503822,3454,0.600069492703266,295,42,604,195,359,0.259728978457262,0,42,0,195,359,0.103544127866574,0.439497915218902,0.227675469075747
"adati","a","d","a","t","i","adti",6278,1.09068797776234,2560,0.444753300903405,295,42,604,446,44,0.248610145934677,0,42,0,446,0,0.0847810979847116,0.459129603891591,0.174774148714385
"adawe","a","d","a","w","e","adwe",6436,1.11813759555247,1599,0.277797081306463,295,42,604,69,594,0.27866574009729,0,42,0,69,0,0.0192842251563586,0.488533703961084,0.0839124391938846
"adawn","a","d","a","w","n","adwn",4997,0.868137595552467,2817,0.489402362751911,295,42,604,69,202,0.210562890896456,0,42,0,69,202,0.0543780403057679,0.374956567060459,0.163134120917304
"adays","a","d","a","y","s","adys",6819,1.18467685892981,4639,0.805941626129256,295,42,604,40,1763,0.476719944405837,0,42,0,40,1763,0.320535093815149,0.653709173036831,0.441886726893676
"addax","a","d","d","a","x","adx",3416,0.593467685892981,1236,0.214732453092425,295,42,177,338,29,0.153057678943711,0,42,177,0,29,0.0430854760250174,0.263160180681029,0.0859972202918693
